permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6935,Check,"Building Permit With Plan Check",11/12/2025,,"6443 Rutgers Dr Twin Hills [TWI]",063-300-024,$573.67,$14088.00,"Residential - 480 SF Non engineered CRC prescriptive roof repair. Contract Value $14,088 (per call w/ licensed professional) Homeowner contracted with solar contractor to install solar power system on her garage (BLD24-1218). Inspector has required 1.5” sag in garage roof span is addressed before final inspection of solar system can be approved. Center of rafter span will be lifted 1.5” and temporarily braced while framing is improved. No existing roof framing will be removed, but rather added to and strengthened. Roof will be temporarily lifted and braced 1.5” to flatten roofline. Existing roof framing to be sistered with additional framing members and the installation of plywood gussets at joints."
BLD25-6936,Issued,"Building Permit With Plan Check",11/12/2025,11/18/2025,"7760 Dos Palos Ln Twin Hills [TWI]",076-110-045,$454.00,$0.00,"SFD, Roof Mount Solar Install/Expansion 5.720kW - Existing PV Array is on Detached Shade Structure"
BLD25-6937,"Awaiting Applicant Response","Building Permit With Plan Check",11/12/2025,,"450 Bloomfield Rd Twin Hills [TWI]",063-213-001,$0.00,$70475.00,"We are proposing to add approximately to 280 square feet of office space to an existing guest cottage (286 square feet) on our 450 Bloomfield Rd property. Our main home is 1591 square feet and there is a detatched garage workshop on the property of 400 square feet. The cottage has a full bath and is used for visiting guests. It currently has a bed and a desk in the studio space. This expansion will allow us and our guests to use the space more comfortably . This guest cottage was existing at the time of our property purchase in 1989. The plans for this project design was fully permitted for a remodel in 1990 but due to family changes (we had a baby) we decided to not proceed with the project. I would like to proceed with this remodel and have been trying to assess the likely approval of this project before I pay for a full digital updating of the proposed plans. I have had an updated plot plan completed so that you can see that our proposed remodel leaves us at 6.98% of building lot coverage. I am attempting to assess the feasibility of this project under current county rules before I proceed with significant other costs of redoing the remodel plan."
BLD25-6938,"Resubmittal Requested","Building Permit With Plan Check",11/12/2025,,"19141 Baytree Sonoma [SON]",142-280-047,$2492.92,,"New Inground Gunite Swimming Pool & Spa (16' x 40') with Auto Safety Cover and Propane Heater - Excavation: All Excavated Soil to be Hauled off site to a county approved location"
BLD25-6939,"Resubmittal Received","Building Permit With Plan Check",11/12/2025,,"1670 Ridge Rd Sonoma [SON]",127-361-005,$2110.37,,"(N) 836 SF Detached 1bd/1ba ADU above 836 SF 2-car garage w/ shop/storage space, 100 SF Storage, 30 SF Balcony, 48 SF Deck. Planning permit: ADR25-0075 Replacement 836 square foot 1-bedroom, 1-bathroom Accessory Dwelling Unit above 2-car garage with shop/storage. Planning permit: ADR25-0075"
BLD25-6940,"Plan Check Comments Sent","Building Permit With Plan Check",11/12/2025,,"5060 Warm Springs Rd Glen Ellen [GLE]",054-310-026,$672.64,$15000.00,"2017 SONOMA COMPLEX FIRE - NEW INGROUND POOL AND SPA - 12' X 30' AND 4' - 6' DEPTH - EVT17-03801"
BLD25-6941,,"Plan Check",11/12/2025,,"4600 Scanlon Rd Guerneville [GUE]",106-200-002,$4119.98,,"Replacement SFD, (2,725 SF), Carport (384 SF), Cov'd Porch (765 SF) Proposed replacement SFD for existing 960 sq ft SFD. The existing dwelling will be demolished under a separate permit. The proposed single story single family replacement dwelling is 2,725 sq ft with 4-bedrooms, 3-bathrooms, attached 1-car porte cochere, and detached solar pavilion shade structure."
BLD25-6943,Issued,"Building Permit With Plan Check",11/13/2025,11/17/2025,"8802 Egg Farm Ln Kenwood [KEN]",050-161-022,$629.25,,"SFD, Install 7.04kW Roof Mount Solar Expansion with 13.5kWh ESS"
BLD25-6945,Issued,"Building Permit With Plan Check",11/13/2025,11/14/2025,"17339 Hillside Ave Agua Caliente [AGU]",056-261-046,$479.10,,"SFD, Install (2) Battery backups 13.5kWh"
BLD25-6949,Check,"Building Permit With Plan Check",11/13/2025,,"2210 Schaeffer Rd Twin Hills [TWI]",025-030-093,$377.50,$0.00,"Res, Ground Mount Solar Panel Install 12.75kW dc PV on elevated rack structure. PV modules are mounted to the structure using an ironridge racking system."
BLD25-6951,Issued,"Building Permit With Plan Check",11/13/2025,11/20/2025,"6908 Gloria Dr Penngrove [PEN]",047-351-009,$629.25,,"SFD, Roof Mount Solar Install 5.39kW, 2X Enphase Battery"
BLD25-6954,Issued,"Building Permit With Plan Check",11/13/2025,11/19/2025,"3720 Primrose Ave Bellevue [BEL]",134-092-027,$629.25,,"SFD, Roof Mount Solar Install 8.10kW with ESS 28.60kWh"
BLD25-6960,"Resubmittal Requested","Building Permit With Plan Check",11/13/2025,,"7225 Malone Rd Forestville [FOR]",083-020-071,$0.00,,"Roof-mount PV 9.2kW DC and ESS 30kWh AC."
BLD25-6961,"Awaiting Applicant Response","Building Permit With Plan Check",11/13/2025,,"80 Queens Ln Petaluma [PET]",113-100-049,$0.00,$0.00,"Backup Generator for Residence"
BLD25-6962,Check,"Building Permit With Plan Check",11/13/2025,,"2107 Chester Dr Penngrove [PEN]",047-271-005,$859.15,$10907.82,"Install Awning 462 SF, to back of shop VBU25-0276 - DEM25-0301)"
