Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"9241 Blackley Street, Temple City, California 91780",8590-001-016,B25-49562,Building,RR Residential Alteration,TEAR OFF REROOF HOUSE SHINGLES  & CAP SHEET SYSTEM ON FLAT ROOF,"$10,000",Finaled,07-08-2025,07-08-2025,07-08-2026,07-16-2025,ADVANCED ROOFING AND SONS INC
"9241 Blackley Street, Temple City, California 91780",8590-001-016,B25-49563,Building,RR Residential Alteration,TEAR OFF REROOF DETACHED GARAGE SHINGLES,$3000,Finaled,07-08-2025,07-08-2025,07-08-2026,07-16-2025,ADVANCED ROOFING AND SONS INC
"10756 Lynrose Street, Temple City, California 91780",8573-011-020,E25-49565,Electrical,,200A MPU ,$0,Issued,07-08-2025,07-08-2025,07-08-2026,,Photonics Electric & IT Services Inc. 
"6059 Golden West Avenue, Temple City, California 91780",5385-019-001,B25-49567,Building,FS Fire Sprinkler,FIRE SPRINKLERS FOR (N) SFD 23 HEADS,$5000,Issued,07-09-2025,07-09-2025,07-09-2026,,Premium Fire & Safety Services Inc. 
"9014 Pentland Street, Temple City, California 91780",5388-020-002,B25-49568,Building,FS Fire Sprinkler,FIRE SPRINKLERS FOR (N) 3 UNIT CONDO,$9800,Issued,07-09-2025,07-09-2025,07-09-2026,,Premium Fire & Safety Services Inc. 
"9850 East Lemon Avenue, Arcadia, California 91007",5383-025-021,B25-49570,Building,RR Residential Alteration,REMODEL KITCHEN: (N) ISLAND,$5000,Issued,07-09-2025,07-09-2025,07-09-2026,,Petworth
"9850 East Lemon Avenue, Arcadia, California 91007",5383-025-021,E25-49572,Electrical,,"KITCHEN REMODEL: (36) OUTLETS SWITCHES RECEPTACLES, (3) LIGHT FIXTURES, (1) GARBAGE DISPOSAL, (1) DISHWASHER, (1) RANGE, (2) EXHAUST FANS",$0,Issued,07-09-2025,07-09-2025,07-09-2026,,Petworth
"4902 Temple City Boulevard Unit A, Temple City, California 91780",8589-015-010,E25-49574,Electrical,,200A MPU,$0,Issued,07-09-2025,07-09-2025,07-09-2026,,
"5551 Santa Anita Avenue 1/2, Temple City, California 91780",8573-020-046,M25-49566,Mechanical,,C/O FURNACE 60K BTU ATTIC C/O HP CONDENSER 3TON BACKYARD SAME LOCATION REPLACE (7) DUCTRUNS ,$0,Issued,07-09-2025,07-09-2025,07-09-2026,,W C Heating & Air Conditioning Inc. dba We Care
"9038 Rancho Real Road, Temple City, California 91780",5388-004-019,M25-49569,Mechanical,,3 TON HEAT PUMP PACKAGE UNIT C/O ON ROOF,$0,Issued,07-09-2025,07-09-2025,07-09-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
