Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"6261 Golden West Avenue, Temple City, California 91780",5385-021-008,B25-48760,Building,CB Combo Building,"INSTALL ROOF MOUNTED 4.92 KW PV ARRAY, (12) MODULES & (1) TESLA POWERWALL ESS (1) 200A INTERNAL LOAD CENTER & (1) 225A DISTRIBUTION PANEL ",$0,Issued,03-13-2025,03-31-2025,03-31-2026,,Tesla Energy Operations Inc. 
"8641 Garibaldi Avenue, San Gabriel, California 91775",5386-007-042,B25-48844,Building,OT Other,"REPAIR FRONT PORCH, REPLACE (3) BEAMS  4'X14' ",$3000,Issued,03-31-2025,03-31-2025,03-31-2026,,Owner-Builder
"9659 Woodruff Avenue Unit B , Temple City, California 91780",5385-018-014,B25-48845,Building,RA Residential Addition,ADD 38 SQ.FT. CLOSET FOR THE STUDIO DETACHED ACCESSORY DWELLING UNIT ,$2500,Issued,03-31-2025,03-31-2025,03-31-2026,,Owner-Builder
"6025 North Muscatel Avenue, San Gabriel, California 91775",5386-008-051,B25-48846,Building,RR Residential Alteration,KITCHEN REMODEL AND RETROFIT  (11) WINDOWS LIKE FOR LIKE ,"$14,500",Issued,03-31-2025,03-31-2025,03-31-2026,,B X D Construction Inc. 
"10140 Live Oak Avenue, Temple City, California 91780",8586-020-008,B25-48849,Building,RR Residential Alteration,"REMOVE EXISTING ROOF, INSTALL PLYWOOD AND NEW SHINGLES OWENS CORNING ","$16,000",Issued,03-31-2025,03-31-2025,03-31-2026,,EZ Roofing 
"5234 Kauffman Avenue, Temple City, California 91780",8589-010-028,B25-48850,Building,RR Residential Alteration,"T/O EXISTING ROOF LAYERS. THE SHEATHING WILL BE REPLACED AS NEEDED. A NEW LAYER OF SYNTHETIC FELT WILL BE NAILED TO THE DECK FOLLOWED BY THE INSTALLATION OF ""CLASS A"" COMP SHINGLES. THE FLAT AREA WILL HAVE A LAYER OF FIBERGLASS FOLLOWED BY GTA TORCH DOWN ",$9000,Issued,03-31-2025,03-31-2025,03-31-2026,,PRS Roofing Inc. 
"6166 Encinita Avenue, Temple City, California 91780",5385-002-002,B25-48851,Building,RR Residential Alteration,"REMODEL BATHROOM #1-4, REPLACE ALL INSULATION, REPLACE WOOD SIDING WITH HARDIE PLANK. REPLACE (13) WINDOWS AND (2) DOORS LIKE FOR LIKE ","$70,000",Issued,03-31-2025,03-31-2025,03-31-2026,,Right Builder Construction Inc. 
"6166 Encinita Avenue, Temple City, California 91780",5385-002-002,B25-48852,Building,RR Residential Alteration,TEAR OFF AND RE ROOFING ASPHALT SHINGLE LIKE FOR LIKE ,"$10,000",Issued,03-31-2025,03-31-2025,03-31-2026,,Right Builder Construction Inc. 
"9562 Nadine Street, Temple City, California 91780",8588-025-009,B25-48856,Building,RR Residential Alteration,MAIN HOUSE - TEAR OFF AND INSTALL ASPHALT SHINGLES ,$4638,Issued,03-31-2025,03-31-2025,03-31-2026,,Owner-Builder
"9562 Nadine Street, Temple City, California 91780",8588-025-009,B25-48857,Building,OT Other,DETACHED GARAGE - TEAR OFF AND INSTALL ASPHALT SHINGLES ,$880,Issued,03-31-2025,03-31-2025,03-31-2026,,Owner-Builder
"9814 Miloann Street, Temple City, California 91780",8589-008-021,B25-48859,Building,RR Residential Alteration,BATHROOM REMODEL ,$8000,Issued,03-31-2025,03-31-2025,03-31-2026,,"Graceland Remodeling, Inc. "
"6149 Encinita Avenue, Temple City, California 91780",5384-012-020,B25-48863,Building,RR Residential Alteration,KITCHEN REMODEL ,"$20,000",Issued,03-31-2025,03-31-2025,03-31-2026,,Owner-Builder
"4853 Ryland Avenue, Temple City, California 91780",8585-010-005,B25-48867,Building,RR Residential Alteration,"MAIN HOUSE - TEAR OFF AND RE ROOF WITH 30 YR CLASS ""A"" DIMENSIONAL SHINGLE COOL ROOF MATERIAL SLOPE ROOF 21 SQ.FT.   ","$10,500",Issued,03-31-2025,03-31-2025,03-31-2026,,"USA Pro Roofing, Inc. "
"4853 Ryland Avenue, Temple City, California 91780",8585-010-005,B25-48868,Building,OT Other,"DETACHED GARAGE  - TEAR OFF AND RE ROOF WITH 30 YR CLASS ""A"" DIMENSIONAL SHINGLE COOL ROOF MATERIAL SLOPE ROOF 6 SQ.FT.  ",$3000,Issued,03-31-2025,03-31-2025,03-31-2026,,"USA Pro Roofing, Inc. "
"9525 Las Tunas Drive, Temple City, California 91780",8587-013-014,B25-48869,Building,SI Sign,"INTERNALLY ILLUMINATED FRONT-LIT LED CHANNEL LETTERS SIGN ""ALPHA SCIENCE MATH""  ",$3500,Issued,03-31-2025,03-31-2025,03-31-2026,,AD Electrical Advertising Inc. 
"9093 Olive Street, Temple City, California 91780",5388-005-018,B25-48871,Building,RR Residential Alteration,REMOVE EXISTING ROOFS AND INSTALL OSB SHEATHING. INSTALL COOL ROOF SHINGLE OWENS CORNING FOREST BROWN CRRC# 0890-0018A ,"$15,000",Issued,03-31-2025,03-31-2025,03-31-2026,,Rain Guard Roofing 
"9095 Olive Street, Temple City, California 91780",5388-005-018,B25-48872,Building,RR Residential Alteration,REMOVE EXISTING ROOFS AND INSTALL OSB SHEATHING. INSTALL COOL ROOF SHINGLE OWENS CORNING FOREST BROWN CRRC# 0890-0018A ,"$15,000",Issued,03-31-2025,03-31-2025,03-31-2026,,Rain Guard Roofing 
"9093 Olive Street, Temple City, California 91780",5388-005-018,B25-48873,Building,OT Other,DETACHED GARAGE - REMOVE EXISTING ROOFS AND INSTALL OSB SHEATHING. INSTALL COOL ROOF SHINGLE OWENS CORNING FOREST BROWN CRRC# 0890-0018A ,$5000,Issued,03-31-2025,03-31-2025,03-31-2026,,Rain Guard Roofing 
"5111 Daleview Avenue, Temple City, California 91780",8574-006-013,B25-48877,Building,RR Residential Alteration,TEAR OFF AND APPLY ASPHALT SHINGLES GAF SAGEWOOD CRRC #0676-0132A ROOF AREA 1255 SQ.FT. MAIN HOUSE AND GARAGE ATTACHED ,$8000,Issued,03-31-2025,03-31-2025,03-31-2026,,Chong Wing Cheng
"5644 El Monte Avenue, Temple City, California 91780",8573-001-009,E25-48759,Electrical,,(2) TESLA POWERWALL ESS ,$0,Issued,03-13-2025,03-31-2025,03-31-2026,,Tesla Energy Operations Inc. 
"6261 Golden West Avenue, Temple City, California 91780",5385-021-008,E25-48761,Electrical,, (1) TESLA POWERWALL ESS (1) 200A INTERNAL LOAD CENTER & (1) 225A DISTRIBUTION PANEL ,$0,Issued,03-13-2025,03-31-2025,03-31-2026,,Tesla Energy Operations Inc. 
